"id"|"location"|"elevation"|"observation_type"|"phenomenon_start"|"phenomenon_end"|"result_value"|"result_uom"|"result_description"|"result_quality"|"result_time"|"valid_from"|"valid_to"|"station"|"sensor"|"observed_property"|"observing_procedure"|"report_id"|"collection"|"parameter"|"feature_of_interest"|"version"|"change_date"|"user"|"status"|"comments"|"source"
"6016975.1954.2.6.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-06 07:00:00"|"1954-02-06 07:00:00"|257.05|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.6.7"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.3.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-03 07:00:00"|"1954-02-03 07:00:00"|257.05|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.3.7"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.6.13.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-06 13:00:00"|"1954-02-06 13:00:00"|260.35|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.6.13"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.3.19.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-03 19:00:00"|"1954-02-03 19:00:00"|267.05|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.3.19"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.17.13.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-17 13:00:00"|"1954-02-17 13:00:00"|270.35|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.17.13"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.1.8.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-01-08 07:00:00"|"1954-01-08 07:00:00"|253.15|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.1.8.7"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.1.5.19.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-01-05 19:00:00"|"1954-01-05 19:00:00"|254.25|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.1.5.19"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.4.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-04 07:00:00"|"1954-02-04 07:00:00"|272.05|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.4.7"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.10.19.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-10 19:00:00"|"1954-02-10 19:00:00"|255.95|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.10.19"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.5.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-05 07:00:00"|"1954-02-05 07:00:00"|253.15|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.5.7"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.1.6.13.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-01-06 13:00:00"|"1954-01-06 13:00:00"|250.95|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.1.6.13"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.1.4.19.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-01-04 19:00:00"|"1954-01-04 19:00:00"|254.25|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.1.4.19"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.1.8.13.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-01-08 13:00:00"|"1954-01-08 13:00:00"|251.45|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.1.8.13"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.10.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-10 07:00:00"|"1954-02-10 07:00:00"|254.25|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.10.7"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.4.19.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-04 19:00:00"|"1954-02-04 19:00:00"|273.75|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.4.19"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.9.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-09 07:00:00"|"1954-02-09 07:00:00"|258.75|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.9.7"|NA|NA|NA|1|NA|1|1|NA|1
"6016975.1954.2.11.7.DEW_POINT_TEMP"|"SRID=4326;POINT( -93.793056  51.066944)"|NA|0|"1954-02-11 07:00:00"|"1954-02-11 07:00:00"|238.75|"K"|NA|NA|NA|NA|NA|6016975|NA|1|NA|"6016975.1954.2.11.7"|NA|NA|NA|1|NA|1|1|NA|1
