cdm_id|cdm_name|cdm_description|cdm_links|cdm_location|cdm_elevation|cdm_wsi|cdm_facility_type|cdm_date_established|cdm_date_closed|cdm_wmo_region|cdm_territory|cdm_valid_from|cdm_valid_to|cdm_version|cdm_change_date|cdm_user|cdm_status|cdm_comments|cdm_time_zone
6166415|PETERBOROUGH A|PETERBOROUGH A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71436", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6166415", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -78.363333  44.230000)|191.4|0-20000-0-71436|http://codes.wmo.int/wmdr/FacilityType/landFixed|2010-09-20 14:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2010-09-20 14:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6010735|BIG TROUT LAKE A|BIG TROUT LAKE A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71675", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6010735", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -89.896944  53.817778)|222.5|0-20000-0-71675|http://codes.wmo.int/wmdr/FacilityType/landFixed|2011-10-17 10:00:00|2023-02-05 02:00:00|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2011-10-17 10:00:00|2023-02-05 02:00:00|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6037800|SIOUX LOOKOUT AIRPORT|SIOUX LOOKOUT AIRPORT|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-73017", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6037800", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -91.905556  50.114167)|338.1|0-20000-0-73017|http://codes.wmo.int/wmdr/FacilityType/landFixed|2018-09-13 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2018-09-13 22:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6016525|PICKLE LAKE (AUT)|PICKLE LAKE (AUT)|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71835", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6016525", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -90.217780  51.449167)|390.8|0-20000-0-71835|http://codes.wmo.int/wmdr/FacilityType/landFixed|1930-01-01 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1955-10-26 12:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6034075|KENORA A|KENORA A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71850", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6034075", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -94.365279  49.790279)|409.7|0-20000-0-71850|http://codes.wmo.int/wmdr/FacilityType/landFixed|1938-01-01 00:00:00|2013-02-14 12:00:00|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1953-01-01 00:00:00|2013-02-14 12:00:00|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6048232|TERRACE BAY AIRPORT|TERRACE BAY AIRPORT|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-73018", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6048232", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -87.091678  48.815571)|290|0-20000-0-73018|http://codes.wmo.int/wmdr/FacilityType/landFixed|2017-12-21 15:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2017-12-21 15:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
613KLLM|ERIEAU (AUT)|ERIEAU (AUT)|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71465", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/613KLLM", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -81.900144  42.250115)|178|0-20000-0-71465|http://codes.wmo.int/wmdr/FacilityType/landFixed|1992-12-03 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1994-02-01 02:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6016295|PEAWANUCK (AUT)|PEAWANUCK (AUT)|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71434", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6016295", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -85.433333  54.983333)|52.7|0-20000-0-71434|http://codes.wmo.int/wmdr/FacilityType/landFixed|1994-02-01 01:52:00|2023-02-13 04:00:00|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1994-02-01 01:52:00|2023-02-13 04:00:00|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6014353|LANSDOWNE HOUSE (AUT)|LANSDOWNE HOUSE (AUT)|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71846", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6014353", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -87.936111  52.196111)|253.4|0-20000-0-71846|http://codes.wmo.int/wmdr/FacilityType/landFixed|1992-12-04 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1994-02-01 02:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6144478|LONDON CS|LONDON CS|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71622", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6144478", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -81.150000  43.033333)|278|0-20000-0-71622|http://codes.wmo.int/wmdr/FacilityType/landFixed|1994-04-08 10:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1994-04-08 10:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
