"CLIMATE_IDENTIFIER"|"STATION_NAME"|"description"|"link"|"geometry"|"ELEVATION"|"wsi"|"facility_type"|"FIRST_DATE"|"wmo_region"|"wmo_territory"|"valid_from"|"valid_to"|"version"|"change_date"|"user"|"status"|"comments"
"6016527"|"PICKLE LAKE A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71845"|"SRID=4326;POINT( -90.214167  51.446389)"|386.2|"0-20000-0-71845"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1990-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1990-01-01 00:00:00"|"2012-07-12 13:00:00"|1|NA|1|1|NA
"615HMAK"|"TORONTO BUTTONVILLE A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71639"|"SRID=4326;POINT( -79.370000  43.862222)"|198.1|"0-20000-0-71639"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1986-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1986-01-01 00:00:00"|"2015-05-21 13:00:00"|1|NA|1|1|NA
"6143089"|"GUELPH TURFGRASS"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71833"|"SRID=4326;POINT( -80.216667  43.550000)"|325|"0-20000-0-71833"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2006-09-28 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2006-09-28 00:00:00"|"2022-04-12 07:00:00"|1|NA|1|1|NA
"6104142"|"KINGSTON CLIMATE"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71820"|"SRID=4326;POINT( -76.599444  44.223333)"|93|"0-20000-0-71820"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2008-07-15 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2008-07-15 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6127510"|"SARNIA"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71704"|"SRID=4326;POINT( -82.308889  42.999444)"|181.4|"0-20000-0-71704"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2009-12-10 17:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2009-12-10 17:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6144239"|"KITCHENER/WATERLOO"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71368"|"SRID=4326;POINT( -80.378611  43.460833)"|321.6|"0-20000-0-71368"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2010-04-06 09:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2010-04-06 09:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6075420"|"MOOSONEE"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71398"|"SRID=4326;POINT( -80.607778  51.291111)"|9.1|"0-20000-0-71398"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2010-09-20 14:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2010-09-20 14:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6106367"|"PEMBROKE CLIMATE"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71196"|"SRID=4326;POINT( -77.252222  45.860278)"|161|"0-20000-0-71196"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2010-11-10 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2010-11-10 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6158665"|"TORONTO ISLAND A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71265"|"SRID=4326;POINT( -79.395000  43.628611)"|76.5|"0-20000-0-71265"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1957-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1957-01-01 00:00:00"|"2006-03-31 00:00:00"|1|NA|1|1|NA
"6140942"|"BRANTFORD AIRPORT"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71602"|"SRID=4326;POINT( -80.331389  43.137500)"|245.5|"0-20000-0-71602"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2014-12-11 04:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2014-12-11 04:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
